,year,indCode,industry,weight (%)
0,1990,1,NoDur,0.0
1,1990,2,Durbl,0.0
2,1990,3,Manuf,0.0
3,1990,4,Enrgy,0.0
4,1990,5,Chems,0.0
5,1990,6,BusEq,0.0
6,1990,7,Telcm,0.0
7,1990,8,Utils,0.0
8,1990,9,Shops,0.0
9,1990,10,Hlth,0.0
10,1990,11,Money,0.0
11,1990,12,Other,0.0
12,1991,1,NoDur,0.0
13,1991,2,Durbl,0.0
14,1991,3,Manuf,0.0
15,1991,4,Enrgy,0.0
16,1991,5,Chems,0.0
17,1991,6,BusEq,0.0
18,1991,7,Telcm,0.0
19,1991,8,Utils,0.0
20,1991,9,Shops,0.0
21,1991,10,Hlth,0.0
22,1991,11,Money,0.0
23,1991,12,Other,0.0
24,1992,1,NoDur,0.0
25,1992,2,Durbl,0.0
26,1992,3,Manuf,0.0
27,1992,4,Enrgy,0.0
28,1992,5,Chems,0.0
29,1992,6,BusEq,0.0
30,1992,7,Telcm,0.0
31,1992,8,Utils,0.0
32,1992,9,Shops,0.0
33,1992,10,Hlth,0.0
34,1992,11,Money,0.0
35,1992,12,Other,0.0
36,1993,1,NoDur,0.0
37,1993,2,Durbl,0.0
38,1993,3,Manuf,0.0
39,1993,4,Enrgy,0.0
40,1993,5,Chems,0.0
41,1993,6,BusEq,0.0
42,1993,7,Telcm,0.0
43,1993,8,Utils,0.0
44,1993,9,Shops,0.0
45,1993,10,Hlth,0.0
46,1993,11,Money,0.0
47,1993,12,Other,0.0
48,1994,1,NoDur,0.0
49,1994,2,Durbl,0.0
50,1994,3,Manuf,0.0
51,1994,4,Enrgy,0.0
52,1994,5,Chems,0.0
53,1994,6,BusEq,0.0
54,1994,7,Telcm,0.0
55,1994,8,Utils,0.0
56,1994,9,Shops,0.0
57,1994,10,Hlth,0.0
58,1994,11,Money,0.0
59,1994,12,Other,0.0
60,1995,1,NoDur,0.0
61,1995,2,Durbl,0.0
62,1995,3,Manuf,0.0
63,1995,4,Enrgy,0.0
64,1995,5,Chems,0.0
65,1995,6,BusEq,0.0
66,1995,7,Telcm,0.0
67,1995,8,Utils,0.0
68,1995,9,Shops,0.0
69,1995,10,Hlth,0.0
70,1995,11,Money,0.0
71,1995,12,Other,0.0
72,1996,1,NoDur,0.0
73,1996,2,Durbl,0.0
74,1996,3,Manuf,0.0
75,1996,4,Enrgy,0.0
76,1996,5,Chems,0.0
77,1996,6,BusEq,0.0
78,1996,7,Telcm,0.0
79,1996,8,Utils,0.0
80,1996,9,Shops,0.0
81,1996,10,Hlth,0.0
82,1996,11,Money,0.0
83,1996,12,Other,0.0
84,1997,1,NoDur,0.0
85,1997,2,Durbl,0.0
86,1997,3,Manuf,0.0
87,1997,4,Enrgy,0.0
88,1997,5,Chems,0.0
89,1997,6,BusEq,0.0
90,1997,7,Telcm,0.0
91,1997,8,Utils,0.0
92,1997,9,Shops,0.0
93,1997,10,Hlth,0.0
94,1997,11,Money,0.0
95,1997,12,Other,0.0
96,1998,1,NoDur,0.0
97,1998,2,Durbl,0.0
98,1998,3,Manuf,0.0
99,1998,4,Enrgy,0.0
100,1998,5,Chems,0.0
101,1998,6,BusEq,0.0
102,1998,7,Telcm,0.0
103,1998,8,Utils,0.0
104,1998,9,Shops,0.0
105,1998,10,Hlth,0.0
106,1998,11,Money,0.0
107,1998,12,Other,0.0
108,1999,1,NoDur,0.0
109,1999,2,Durbl,0.0
110,1999,3,Manuf,0.0
111,1999,4,Enrgy,0.0
112,1999,5,Chems,0.0
113,1999,6,BusEq,0.0
114,1999,7,Telcm,0.0
115,1999,8,Utils,0.0
116,1999,9,Shops,0.0
117,1999,10,Hlth,0.0
118,1999,11,Money,0.0
119,1999,12,Other,0.0
120,2000,1,NoDur,0.0
121,2000,2,Durbl,0.0
122,2000,3,Manuf,0.17000438135401122
123,2000,4,Enrgy,0.0
124,2000,5,Chems,0.0
125,2000,6,BusEq,0.33785821978109737
126,2000,7,Telcm,0.039534605066598366
127,2000,8,Utils,0.0
128,2000,9,Shops,0.001876929722660453
129,2000,10,Hlth,0.1388155136378795
130,2000,11,Money,0.13429241257495064
131,2000,12,Other,0.17761793786280233
132,2001,1,NoDur,0.0
133,2001,2,Durbl,0.0
134,2001,3,Manuf,0.1552237667399477
135,2001,4,Enrgy,0.0
136,2001,5,Chems,0.0
137,2001,6,BusEq,0.6096451995540374
138,2001,7,Telcm,0.019037972175815692
139,2001,8,Utils,0.0
140,2001,9,Shops,0.035848608291232376
141,2001,10,Hlth,0.06998867160381488
142,2001,11,Money,0.04244760396171722
143,2001,12,Other,0.06780817767343483
144,2002,1,NoDur,0.0
145,2002,2,Durbl,0.0
146,2002,3,Manuf,0.132792095582009
147,2002,4,Enrgy,0.0
148,2002,5,Chems,0.0
149,2002,6,BusEq,0.6826061019788202
150,2002,7,Telcm,0.0
151,2002,8,Utils,0.0
152,2002,9,Shops,0.033187198254633586
153,2002,10,Hlth,0.02382834460570909
154,2002,11,Money,0.03886431014421348
155,2002,12,Other,0.08872194943461466
156,2003,1,NoDur,0.0
157,2003,2,Durbl,0.017353165685425807
158,2003,3,Manuf,0.058577051220477946
159,2003,4,Enrgy,0.013258915277706071
160,2003,5,Chems,0.0
161,2003,6,BusEq,0.4779236888844867
162,2003,7,Telcm,0.02068096019562077
163,2003,8,Utils,0.0
164,2003,9,Shops,0.020704627037587416
165,2003,10,Hlth,0.19843403395032766
166,2003,11,Money,0.061561979870189396
167,2003,12,Other,0.13150557787817832
168,2004,1,NoDur,0.0
169,2004,2,Durbl,0.0
170,2004,3,Manuf,0.04971428304808179
171,2004,4,Enrgy,0.0
172,2004,5,Chems,0.0
173,2004,6,BusEq,0.47704663547694465
174,2004,7,Telcm,0.05284735295145798
175,2004,8,Utils,0.0
176,2004,9,Shops,0.10529017768556617
177,2004,10,Hlth,0.09955377417531183
178,2004,11,Money,0.0900937344324136
179,2004,12,Other,0.12545404223022405
180,2005,1,NoDur,0.0
181,2005,2,Durbl,0.0
182,2005,3,Manuf,0.20410638778366275
183,2005,4,Enrgy,0.04558559021955558
184,2005,5,Chems,0.0
185,2005,6,BusEq,0.45153452098567776
186,2005,7,Telcm,0.0416461679114133
187,2005,8,Utils,0.0
188,2005,9,Shops,0.08356181994153518
189,2005,10,Hlth,0.07436456982407609
190,2005,11,Money,0.01828370417110373
191,2005,12,Other,0.08091723916297582
192,2006,1,NoDur,0.0
193,2006,2,Durbl,0.05861075151500837
194,2006,3,Manuf,0.17222104318882503
195,2006,4,Enrgy,0.10243195649337601
196,2006,5,Chems,0.0
197,2006,6,BusEq,0.11860673567954912
198,2006,7,Telcm,0.0
199,2006,8,Utils,0.0
200,2006,9,Shops,0.11458660401158152
201,2006,10,Hlth,0.11291574258819609
202,2006,11,Money,0.13763444003509118
203,2006,12,Other,0.18299272648837273
204,2007,1,NoDur,0.05874603379477181
205,2007,2,Durbl,0.04236316827444027
206,2007,3,Manuf,0.09892983580103094
207,2007,4,Enrgy,0.1457570768409425
208,2007,5,Chems,0.01516315210477911
209,2007,6,BusEq,0.18568118044091803
210,2007,7,Telcm,0.0
211,2007,8,Utils,0.0
212,2007,9,Shops,0.03980241878052744
213,2007,10,Hlth,0.1177960394342924
214,2007,11,Money,0.12545222645769583
215,2007,12,Other,0.1703088680706016
216,2008,1,NoDur,0.0
217,2008,2,Durbl,0.023218393973369788
218,2008,3,Manuf,0.10372871279358271
219,2008,4,Enrgy,0.06984965706871575
220,2008,5,Chems,0.0
221,2008,6,BusEq,0.1871897052535228
222,2008,7,Telcm,0.024260090464930575
223,2008,8,Utils,0.0
224,2008,9,Shops,0.14676552172394963
225,2008,10,Hlth,0.12915598966728595
